year,sex,age_band,geo_code,projection
2027,female,76-80,95NN,1553.98997094007
2027,female,76-80,95OO,1063.5893968836815
2027,female,76-80,95PP,1508.8162637752937
2027,female,76-80,95QQ,777.6781433827216
2027,female,76-80,95RR,645.8343112824698
2027,female,76-80,95SS,2543.538223237713
2027,female,76-80,95TT,852.76821943393
2027,female,76-80,95UU,375.35312932021833
2027,female,76-80,95VV,1868.374998440831
2027,female,76-80,95WW,1828.9377697013354
2027,female,76-80,95XX,2426.8665007853565
2027,female,76-80,95YY,995.0275535615859
2027,female,76-80,95ZZ,829.0128783546678
2027,female,81-85,95AA,839.5386104826225
2027,female,81-85,95BB,1605.3741579327125
2027,female,81-85,95CC,965.3879986222875
2027,female,81-85,95DD,1177.011426622418
2027,female,81-85,95EE,519.6982195328363
2027,female,81-85,95FF,765.345286395325
2027,female,81-85,95GG,3562.356903992723
2027,female,81-85,95HH,693.1253534917777
2027,female,81-85,95II,1108.23737634195
2027,female,81-85,95JJ,1093.4938661439742
2027,female,81-85,95KK,564.0349610796036
2027,female,81-85,95LL,1389.339301776596
2027,female,81-85,95MM,1358.766683816588
2027,female,81-85,95NN,1216.286942390411
2027,female,81-85,95OO,755.2018818637755
2027,female,81-85,95PP,989.2136235170155
2027,female,81-85,95QQ,547.0915213901995
2027,female,81-85,95RR,556.9865332794734
2027,female,81-85,95SS,1940.5913890650916
2027,female,81-85,95TT,650.0493688709436
2027,female,81-85,95UU,293.62716787604427
2027,female,81-85,95VV,1324.9502902268794
2027,female,81-85,95WW,1374.6808335351918
2027,female,81-85,95XX,1796.9590890019003
2027,female,81-85,95YY,694.0574691763812
2027,female,81-85,95ZZ,613.5937435752792
2027,female,86+,95AA,664.2541797443675
2027,female,86+,95BB,1250.6203934066657
2027,female,86+,95CC,817.6208578868033
2027,female,86+,95DD,1022.4183317327468
2027,female,86+,95EE,436.2987885437741
2027,female,86+,95FF,708.7572191793488
2027,female,86+,95GG,3494.536203380788
2027,female,86+,95HH,593.2764440234367
2027,female,86+,95II,1026.5785038429606
2027,female,86+,95JJ,962.5887418475512
2027,female,86+,95KK,439.2203535671473
2027,female,86+,95LL,1132.5537241364398
2027,female,86+,95MM,927.6519524723848
2027,female,86+,95NN,992.0232691031798
2027,female,86+,95OO,698.9196512430531
2027,female,86+,95PP,887.1112767613342
2027,female,86+,95QQ,441.3599300661158
2027,female,86+,95RR,403.7937561924474
2027,female,86+,95SS,1578.2171059012335
2027,female,86+,95TT,563.67835958157
2027,female,86+,95UU,205.46765824402044
2027,female,86+,95VV,1144.6226252340998
2027,female,86+,95WW,1225.4138888081177
2027,female,86+,95XX,1410.4384421078805
2027,female,86+,95YY,660.3222551324917
2027,female,86+,95ZZ,462.2560878600442
2027,male,6-10,95AA,1673.9925877705368
2027,male,6-10,95BB,2162.051786781043
2027,male,6-10,95CC,2379.872745096891
2027,male,6-10,95DD,2188.556241688644
2027,male,6-10,95EE,983.6043556814423
2027,male,6-10,95FF,1582.349033714216
2027,male,6-10,95GG,8266.037854755705
2027,male,6-10,95HH,1012.2623530403378
2027,male,6-10,95II,2258.8051472272327
2027,male,6-10,95JJ,1547.6029299358436
2027,male,6-10,95KK,1472.8729153605345
2027,male,6-10,95LL,3688.7900870125177
2027,male,6-10,95MM,3609.444248819396
2027,male,6-10,95NN,2313.696350718049
2027,male,6-10,95OO,2496.9049610762618
2027,male,6-10,95PP,2048.8329675995583
2027,male,6-10,95QQ,838.7422710925056
2027,male,6-10,95RR,1126.1996064724135
2027,male,6-10,95SS,4495.327236820791
2027,male,6-10,95TT,1655.2330042152194
2027,male,6-10,95UU,522.5077316085625
2027,male,6-10,95VV,3857.008304212363
2027,male,6-10,95WW,2571.7525687966036
2027,male,6-10,95XX,2231.7743879781992
2027,male,6-10,95YY,1743.5069950999682
2027,male,6-10,95ZZ,1284.271327425171
2027,male,16-20,95AA,2004.5845888438603
2027,male,16-20,95BB,2404.870980804007
2027,male,16-20,95CC,2281.117425689814
2027,male,16-20,95DD,2224.4871611768563
2027,male,16-20,95EE,976.7575607114726
2027,male,16-20,95FF,1707.0388641756774
2027,male,16-20,95GG,12289.52955644729
2027,male,16-20,95HH,1089.9864835946325
2027,male,16-20,95II,2006.492007867073
2027,male,16-20,95JJ,1789.0616261000002
2027,male,16-20,95KK,1460.4106933094554
2027,male,16-20,95LL,4011.802704847455
2027,male,16-20,95MM,3677.9035602015574
2027,male,16-20,95NN,2374.3256400339346
2027,male,16-20,95OO,2270.546632488627
2027,male,16-20,95PP,2036.8855186780006
2027,male,16-20,95QQ,872.9754176877802
2027,male,16-20,95RR,1120.0125031108314
2027,male,16-20,95SS,4534.133712870218
2027,male,16-20,95TT,1733.73738284657
2027,male,16-20,95UU,479.0451456093072
2027,male,16-20,95VV,3844.835145364686
2027,male,16-20,95WW,2936.5622515778555
2027,male,16-20,95XX,2427.5233017487326
2027,male,16-20,95YY,1792.8013307973592
2027,male,16-20,95ZZ,1249.5728034169522
2027,male,21-25,95AA,1832.610577853143
2027,male,21-25,95BB,2134.592619594332
2027,male,21-25,95CC,1892.5173532402137
2027,male,21-25,95DD,1850.3742863751463
2027,male,21-25,95EE,859.6212064860442
2027,male,21-25,95FF,1402.3440799035707
2027,male,21-25,95GG,9811.787560853567
2027,male,21-25,95HH,986.7296302092059
2027,male,21-25,95II,1762.3464194522826
2027,male,21-25,95JJ,1388.2968989521037
2027,male,21-25,95KK,1147.5410436004522
2027,male,21-25,95LL,3162.3903838419233
2027,male,21-25,95MM,2898.981618942135
2027,male,21-25,95NN,1886.2514317765686
2027,male,21-25,95OO,2072.2853852822714
2027,male,21-25,95PP,1735.2290579086791
2027,male,21-25,95QQ,789.0934463448266
2027,male,21-25,95RR,900.83360541514
2027,male,21-25,95SS,3598.3115104913604
2027,male,21-25,95TT,1421.555677597674
2027,male,21-25,95UU,475.9671238293175
2027,male,21-25,95VV,3122.150580881049
2027,male,21-25,95WW,2380.2085613993404
2027,male,21-25,95XX,2052.594593693145
2027,male,21-25,95YY,1517.664290207545
2027,male,21-25,95ZZ,1108.7210558689642
2027,male,26-30,95AA,1816.3548038191093
2027,male,26-30,95BB,2093.3992219749957
2027,male,26-30,95CC,1714.1037469905168
2027,male,26-30,95DD,1782.7597468966032
2027,male,26-30,95EE,803.9211616569106
2027,male,26-30,95FF,1394.285270174639
2027,male,26-30,95GG,12047.425490396106
2027,male,26-30,95HH,1037.5287025752643
2027,male,26-30,95II,1916.126823167584
2027,male,26-30,95JJ,1521.2973496420973
2027,male,26-30,95KK,1094.2032204309617
2027,male,26-30,95LL,3161.9442005925603
2027,male,26-30,95MM,3109.933329795114
2027,male,26-30,95NN,1829.5383543629312
2027,male,26-30,95OO,1999.97772239683
2027,male,26-30,95PP,1518.6505989010539
2027,male,26-30,95QQ,773.3861716667428
2027,male,26-30,95RR,864.7833484636008
2027,male,26-30,95SS,3691.154962548028
2027,male,26-30,95TT,1308.5220619068546
2027,male,26-30,95UU,358.5886441378407
2027,male,26-30,95VV,2918.6350317818906
2027,male,26-30,95WW,2331.6863176827796
2027,male,26-30,95XX,1842.1779426416508
2027,male,26-30,95YY,1467.4539142747112
2027,male,26-30,95ZZ,1105.161861122622
2027,male,31-35,95AA,1896.1672092997665
2027,male,31-35,95BB,2240.194097443596
2027,male,31-35,95CC,1996.567120254191
2027,male,31-35,95DD,2027.4630811618229
2027,male,31-35,95EE,899.4966312212259
2027,male,31-35,95FF,1537.105765164593
2027,male,31-35,95GG,10669.40809412835
2027,male,31-35,95HH,1212.3870673716924
2027,male,31-35,95II,2571.4634105172418
2027,male,31-35,95JJ,1490.0654122128321
2027,male,31-35,95KK,1221.9779246076496
2027,male,31-35,95LL,3720.659371170507
2027,male,31-35,95MM,3017.853257878342
2027,male,31-35,95NN,2048.1903746289613
2027,male,31-35,95OO,2286.326507190261
2027,male,31-35,95PP,1811.039212250011
2027,male,31-35,95QQ,864.4111739796574
2027,male,31-35,95RR,1018.2970014162053
2027,male,31-35,95SS,4468.953493855591
2027,male,31-35,95TT,1466.1801371884847
2027,male,31-35,95UU,474.68904191661966
2027,male,31-35,95VV,3185.981991808151
2027,male,31-35,95WW,2852.0705091402792
2027,male,31-35,95XX,2268.0621770592165
2027,male,31-35,95YY,1570.9407942551716
2027,male,31-35,95ZZ,1125.049142879586
2027,male,36-40,95AA,1912.9999777013218
2027,male,36-40,95BB,2439.927145114177
2027,male,36-40,95CC,2146.0882761284533
2027,male,36-40,95DD,2172.6740983178433
2027,male,36-40,95EE,971.2661984482139
2027,male,36-40,95FF,1677.7852390382236
2027,male,36-40,95GG,10644.541860931306
2027,male,36-40,95HH,1219.7108304673902
2027,male,36-40,95II,2596.048141718776
2027,male,36-40,95JJ,1657.1396254032582
2027,male,36-40,95KK,1293.1863245708234
2027,male,36-40,95LL,3995.931821902968
2027,male,36-40,95MM,3556.9734055900076
2027,male,36-40,95NN,2176.244442751462
2027,male,36-40,95OO,2528.392744203064
2027,male,36-40,95PP,1846.3592183785365
2027,male,36-40,95QQ,958.4804263862253
2027,male,36-40,95RR,1051.3288179111737
2027,male,36-40,95SS,4624.771679395575
2027,male,36-40,95TT,1464.8256892459872
2027,male,36-40,95UU,477.0044272987113
2027,male,36-40,95VV,3357.7525345627782
2027,male,36-40,95WW,3016.22488231015
2027,male,36-40,95XX,2487.256705428686
2027,male,36-40,95YY,1534.476335089161
2027,male,36-40,95ZZ,1157.6091517057248
2027,male,41-45,95AA,1936.3253194185472
2027,male,41-45,95BB,2429.8565786809604
2027,male,41-45,95CC,2206.863782384826
2027,male,41-45,95DD,2202.1181856572266
2027,male,41-45,95EE,971.7023680047606
2027,male,41-45,95FF,1688.8266325010695
2027,male,41-45,95GG,9758.399818837017
2027,male,41-45,95HH,1127.7764278396874
2027,male,41-45,95II,2421.434128776109
2027,male,41-45,95JJ,1693.067150318664
2027,male,41-45,95KK,1452.819778090862
2027,male,41-45,95LL,3873.986352995746
2027,male,41-45,95MM,3600.8533890996514
2027,male,41-45,95NN,2248.305929920178
2027,male,41-45,95OO,2597.0191787705967
2027,male,41-45,95PP,2084.9596485971024
2027,male,41-45,95QQ,926.9449382040533
2027,male,41-45,95RR,1131.517091397792
2027,male,41-45,95SS,4746.810343693264
2027,male,41-45,95TT,1608.2416871028863
2027,male,41-45,95UU,495.63711603174136
2027,male,41-45,95VV,3504.966095552746
2027,male,41-45,95WW,3026.392042675777
2027,male,41-45,95XX,2605.5117498247046
2027,male,41-45,95YY,1753.87058935149
2027,male,41-45,95ZZ,1207.7936762725499
2027,male,46-50,95AA,1969.95083161981
2027,male,46-50,95BB,2405.9402849669896
2027,male,46-50,95CC,2092.671991752757
2027,male,46-50,95DD,2144.4633329882527
2027,male,46-50,95EE,962.8063798850926
2027,male,46-50,95FF,1667.334721428723
2027,male,46-50,95GG,8859.058704028157
2027,male,46-50,95HH,1141.0615489284694
2027,male,46-50,95II,2201.733573711421
2027,male,46-50,95JJ,1610.8265032879708
2027,male,46-50,95KK,1368.194813996838
2027,male,46-50,95LL,3643.9642261348095
2027,male,46-50,95MM,3298.3414148926418
2027,male,46-50,95NN,2253.6061238809552
2027,male,46-50,95OO,2215.989330059808
2027,male,46-50,95PP,1955.4382006205653
2027,male,46-50,95QQ,916.6073931625075
2027,male,46-50,95RR,1010.7701275103318
2027,male,46-50,95SS,4378.619562354789
2027,male,46-50,95TT,1521.7049319568862
2027,male,46-50,95UU,502.4937376544192
2027,male,46-50,95VV,3506.955453909111
2027,male,46-50,95WW,2877.103803837871
2027,male,46-50,95XX,2553.091582642934
2027,male,46-50,95YY,1651.7717164871162
2027,male,46-50,95ZZ,1187.499708300776
2027,male,51-55,95AA,1941.446345891015
2027,male,51-55,95BB,2724.8172740718965
2027,male,51-55,95CC,2146.2615262867785
2027,male,51-55,95DD,2239.933000203261
2027,male,51-55,95EE,994.6895587951182
2027,male,51-55,95FF,1679.5333198424046
2027,male,51-55,95GG,8127.939966057205
2027,male,51-55,95HH,1251.6804929036662
2027,male,51-55,95II,2108.3738645570843
2027,male,51-55,95JJ,1759.9319979395673
2027,male,51-55,95KK,1303.4440030536052
2027,male,51-55,95LL,3395.255422276948
2027,male,51-55,95MM,3343.241085344442
2027,male,51-55,95NN,2315.3109375568274
2027,male,51-55,95OO,2096.911393183142
2027,male,51-55,95PP,2045.4282063724854
2027,male,51-55,95QQ,1004.1898524180638
2027,male,51-55,95RR,1131.0717601181123
2027,male,51-55,95SS,4027.0299762991094
2027,male,51-55,95TT,1470.7420471065354
2027,male,51-55,95UU,565.8958751758005
2027,male,51-55,95VV,3289.037335721121
2027,male,51-55,95WW,2802.1935030265186
2027,male,51-55,95XX,2566.8246002961423
2027,male,51-55,95YY,1664.132335392722
2027,male,51-55,95ZZ,1306.684320110429
2027,male,11-15,95AA,1955.0763428632545
2027,male,11-15,95BB,2462.1152327257955
2027,male,11-15,95CC,2427.8940817103926
2027,male,11-15,95DD,2113.9840617663763
2027,male,11-15,95EE,1051.8471912911282
2027,male,11-15,95FF,1769.8758965467698
2027,male,11-15,95GG,10319.356488932386
2027,male,11-15,95HH,1132.475263668286
2027,male,11-15,95II,2130.990706290564
2027,male,11-15,95JJ,1903.3042123350183
2027,male,11-15,95KK,1514.1691320539687
2027,male,11-15,95LL,3882.460369436683
2027,male,11-15,95MM,3928.591168655039
2027,male,11-15,95NN,2491.9417214160844
2027,male,11-15,95OO,2519.702502624008
2027,male,11-15,95PP,2216.775327891349
2027,male,11-15,95QQ,932.2721283012925
2027,male,11-15,95RR,1121.8098432590336
2027,male,11-15,95SS,4793.488243058589
2027,male,11-15,95TT,1720.6794212619989
2027,male,11-15,95UU,525.6854373028029
2027,male,11-15,95VV,4001.96603245097
2027,male,11-15,95WW,2958.8538032394326
2027,male,11-15,95XX,2512.7176797251873
2027,male,11-15,95YY,1770.4802485134376
2027,male,11-15,95ZZ,1331.487462680147
2027,male,56-60,95AA,1987.1212494345257
2027,male,56-60,95BB,2938.527069370729
2027,male,56-60,95CC,2097.3626831327406
2027,male,56-60,95DD,2453.5920585373165
2027,male,56-60,95EE,1085.3621682320102
2027,male,56-60,95FF,1867.4419008545394
2027,male,56-60,95GG,8370.533293371991
2027,male,56-60,95HH,1531.5553348519868
2027,male,56-60,95II,2316.5294428090097
2027,male,56-60,95JJ,2030.8167415966348
2027,male,56-60,95KK,1240.6282415790265
2027,male,56-60,95LL,3431.355706595151
2027,male,56-60,95MM,3693.4732614499144
2027,male,56-60,95NN,2434.3336858077478
2027,male,56-60,95OO,1944.1403906618702
2027,male,56-60,95PP,2082.953957983944
2027,male,56-60,95QQ,1173.2408064821914
2027,male,56-60,95RR,1200.0159864221482
2027,male,56-60,95SS,4091.200777499961
2027,male,56-60,95TT,1598.1020129323108
2027,male,56-60,95UU,650.5450125724017
2027,male,56-60,95VV,3477.1669534489843
2027,male,56-60,95WW,2870.3390020820984
2027,male,56-60,95XX,2748.8876401054576
2027,male,56-60,95YY,1670.6806646529033
2027,male,56-60,95ZZ,1390.0939575324096
2027,male,61-65,95AA,1925.3114255528976
2027,male,61-65,95BB,2923.3851595758947
2027,male,61-65,95CC,2104.214322256193
2027,male,61-65,95DD,2084.962479392177
2027,male,61-65,95EE,1038.6553611473785
2027,male,61-65,95FF,1772.1620257478655
2027,male,61-65,95GG,8291.295397356462
2027,male,61-65,95HH,1492.689426064503
2027,male,61-65,95II,2394.3374332819326
2027,male,61-65,95JJ,2062.416250691748
2027,male,61-65,95KK,1182.7057007207409
2027,male,61-65,95LL,3182.913705492663
